pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x5a74ea01e29115bdd633ed7559802ddbdcc600ba22a778b6d200893c2e7a2690,"BSW / USAD",uniswap-v4-base,,lydia-coin,BSW,5001116,below,min_cap_of_two:gt_fdv,248652222,5460097913
0x6c561b446416e1a00e8e93e221854d6ea4171372,"WETH / USDC 0.3%",uniswap-v3-base,weth,usd-coin,,,above,both_quote,130535974,2065511646
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,"WETH / USDC 0.01%",pancakeswap-v3-base,weth,usd-coin,,,above,both_quote,68581329,1456042075
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,"WETH / USDC 0.05%",aerodrome-slipstream-3,weth,usd-coin,,,above,both_quote,50866237,1562249280
0x7c7420dd105e2779316423ba3e973f434315efa9,"cbBTC / WETH 0.009%",aerodrome-slipstream-3,coinbase-wrapped-btc,weth,,,above,both_quote,41624279,796198801
0x160d7e9d948b16c163332a277b393c288408eb12,"cbBTC / USDC 0.05%",aerodrome-slipstream-3,coinbase-wrapped-btc,usd-coin,,,above,both_quote,41149989,1124709668
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,"cbBTC / WETH 0.01%",pancakeswap-v3-base,coinbase-wrapped-btc,weth,,,above,both_quote,40730054,1362736877
0xd0b53d9277642d899df5c87a3966a349a798f224,"USDC / WETH 0.05%",uniswap-v3-base,usd-coin,weth,,,above,both_quote,33059411,464947840
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,"cbBTC / WETH 0.05%",aerodrome-slipstream-3,coinbase-wrapped-btc,weth,,,above,both_quote,29818096,1970684398
0xd5b83c33a8711e727c0abb6f72ee508755d37e10,"wtSGOV / USDC 0.01%",aerodrome-slipstream-3,blackrock-ishares-0-3-month-treasury-bond-st0x-tokenized-etf,usd-coin,blackrock-ishares-0-3-month-treasury-bond-st0x-tokenized-etf,74312,below,single_subject:cg_mcap,28889148,2876717
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,"WETH / USDC 0.05%",aerodrome-slipstream,weth,usd-coin,,,above,both_quote,28765846,924165438
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,"cbBTC / WETH 0.05%",uniswap-v3-base,coinbase-wrapped-btc,weth,,,above,both_quote,23260474,720253019
0x4e962bb3889bf030368f56810a9c96b83cb3e778,"cbBTC / USDC 0.05%",aerodrome-slipstream,coinbase-wrapped-btc,usd-coin,,,above,both_quote,19056459,671061287
0xf9990b02daf32918535a231e243cc78595748b4f,"OpenAI / USDC",aerodrome-slipstream-3,,usd-coin,OpenAI,5070799,below,single_subject:gt_fdv,18512048,0
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,"cbBTC / USDC 0.05%",uniswap-v3-base,coinbase-wrapped-btc,usd-coin,,,above,both_quote,18081003,275563315
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,"cbBTC / USDC 0.01%",pancakeswap-v3-base,coinbase-wrapped-btc,usd-coin,,,above,both_quote,16276173,315863189
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,"USDT / USDC 0.01%",aerodrome-slipstream,l2-standard-bridged-usdt-base,usd-coin,l2-standard-bridged-usdt-base,25685207,below,single_subject:cg_mcap,14442872,186857079
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,"USDC / cbBTC 1%",aerodrome-slipstream,usd-coin,coinbase-wrapped-btc,,,above,both_quote,11154822,184932572
0x9785ef59e2b499fb741674ecf6faf912df7b3c1b,"USDT / WETH 0.05%",aerodrome-slipstream,l2-standard-bridged-usdt-base,weth,l2-standard-bridged-usdt-base,25685207,below,single_subject:cg_mcap,10926733,153991749
0x853f5f1b92b16714fe6cda67caad0856b83c7ab9,"NVDAc / USDC 0.077%",aerodrome-slipstream-3,nvidia-coinbase-tokenized-stock,usd-coin,nvidia-coinbase-tokenized-stock,3516113,below,single_subject:cg_mcap,10602824,146295765
0xeaf57753bc382e0324a1d43f72e7027705a2273e,"METAc / USDC 0.164%",aerodrome-slipstream-3,meta-coinbase-tokenized-stock,usd-coin,meta-coinbase-tokenized-stock,1795134,below,single_subject:cg_mcap,9823457,83638283
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,"VVV / WETH 0.05%",aerodrome-slipstream,venice-token,weth,venice-token,1186629226,above,single_subject:cg_mcap,9667644,96379542
0x768caee5bb0ece2a4a6f2623b285f8b943e8d921,"牛来 / USDC",aerodrome-slipstream-3,,usd-coin,牛来,64609371,below,single_subject:gt_fdv,8510918,0
0xb63e6f330e5ed3b48cf3c921c94016617d61fc09,"BaseStock / USDC",aerodrome-slipstream-3,,usd-coin,BaseStock,5013267,below,single_subject:gt_fdv,8358559,0
0xb1987cad1682841b4b641d50e520777ec5ab5542,"GOOGLc / USDC 0.05%",aerodrome-slipstream-3,alphabet-coinbase-tokenized-stock,usd-coin,alphabet-coinbase-tokenized-stock,2197918,below,single_subject:cg_mcap,7905135,71547143
