pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0xdeb4d4a16bbfc352ce6a0627ddbcbd63352dfafd3eb192134295081b63bae6b7,"QQQB / USDC",uniswap-v4-bsc,invesco-qqq-trust-bstocks-tokenized-stock,binance-bridged-usdc-bnb-smart-chain,invesco-qqq-trust-bstocks-tokenized-stock,1322977,below,min_cap_of_two:cg_mcap,823898947,841742142
0x46dbe63160127054374a5d0f5cd716b075a3e72d,"LAPTOP / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,LAPTOP,53694515,below,min_cap_of_two:gt_fdv,330358577,0
0x2eea9a731a8f9d1d90ecffc6e59d1c648800baa2,"LAPTOP / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,LAPTOP,0,below,min_cap_of_two:gt_fdv,329591435,0
0x9f70f3ea30eafbd6cf9c5cf13d09f02ac8d8cbce,"LAPTOP / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,LAPTOP,0,below,min_cap_of_two:gt_fdv,229897182,350786220
0x36f0e68ef7a97744389b9b5c859566629ba7c3f3899f0cc630ca68d82b6f488f,"DEBIT / USDT 0.007%",pancakeswap-infinity-clmm,teller,binance-bridged-usdt-bnb-smart-chain,teller,36791690,below,min_cap_of_two:cg_mcap,197455105,2726736392
0x56ccd2220b760e98ed3102acb4c9db51e6a558ab,"LAPTOP / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,LAPTOP,0,below,min_cap_of_two:gt_fdv,180789560,0
0x9485ff32b6b4444c21d5abe4d9a2283d127075a2,"quq / USDT 0.01%",pancakeswap-v3-bsc,,binance-bridged-usdt-bnb-smart-chain,quq,1774581,below,min_cap_of_two:gt_mcap,153546156,5412224102
0x172fcd41e0913e95784454622d1c3724f546f849,"USDT / WBNB 0.01%",pancakeswap-v3-bsc,binance-bridged-usdt-bnb-smart-chain,wbnb,binance-bridged-usdt-bnb-smart-chain,183407439858,above,single_subject:cg_mcap,127751090,3944687848
0xf43fdb854021ddeb41e06ac1d6e5df475197038ba5d3cba147f469a56870cd1b,"KII / USDT 0.007%",pancakeswap-infinity-clmm,kiichain,binance-bridged-usdt-bnb-smart-chain,kiichain,25321227,below,min_cap_of_two:cg_mcap,126487748,1653820787
0x1e5c7a4acb0683c7298060604e9939a3e4ab3a2f,"LAPTOP / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,LAPTOP,0,below,min_cap_of_two:gt_fdv,119066135,456622869
0x3dc224624ff16ed597c6e7706379c03c39db8ef8,"M21NT / MNT21 0.01%",pancakeswap-v3-bsc,,,M21NT,,unknown,gt_fdv_only_above_threshold,86597400,726891606
0x56e1012916c9a19857e5073afc6ec44b7effa1b56019968c220b27a2fee5816b,"BNC4 / USDC",uniswap-v4-bsc,,binance-bridged-usdc-bnb-smart-chain,BNC4,6452413,below,min_cap_of_two:gt_fdv,64063562,63801713
0xbec6906a984f4695aca0f15bafa7de5eb45b54ab,"BNC4 / USDT 0.25%",pancakeswap-v3-bsc,,binance-bridged-usdt-bnb-smart-chain,BNC4,6452413,below,min_cap_of_two:gt_fdv,39548245,258674409
0xf2688fb5b81049dfb7703ada5e770543770612c4,"USDC / WBNB 0.01%",pancakeswap-v3-bsc,binance-bridged-usdc-bnb-smart-chain,wbnb,binance-bridged-usdc-bnb-smart-chain,74241919595,above,single_subject:cg_mcap,35519035,865509011
0x628ea54a6450645d2bb7b2911c8c6f3d7f3944c2f4703c259a1b85bf5569870b,"USDT / USDC",uniswap-v4-bsc,binance-bridged-usdt-bnb-smart-chain,binance-bridged-usdc-bnb-smart-chain,binance-bridged-usdc-bnb-smart-chain,74241919595,above,min_cap_of_two:cg_mcap,35013105,899270300
0xb4e18c7bf3adb2bfa3b921f9f424f9e59f7a150e,"LAPTOP / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,LAPTOP,3626722,below,min_cap_of_two:gt_fdv,32596254,0
