pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x6c9a33e3b592c0d65b3ba59355d5be0d38259285,"USDC / WHYPE 0.05%",project-x,usd-coin,wrapped-hype,,,above,both_quote,58149672,2143590984
0x5a177cf0effb7e0e7115d792e587c1a5a9cbc9d4,"USDC / WHYPE 0.24%",ramses-v3-hyperevm,usd-coin,wrapped-hype,,,above,both_quote,9229346,109168976
0xbe512f5881b85c48d9c17bc5bb2be047d156d696,"USDC / WHYPE 0.115%",nest,usd-coin,wrapped-hype,,,above,both_quote,6312725,230423966
0x46abbdfc675ffa9ddf032c64fee363745204e63e,"USDC / USD₮0 0.002%",ramses-v3-hyperevm,usd-coin,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,6082426,102596811
0x422e586c906eb241f784b4f5a633c2c7e59a2f54,"USDC / WHYPE 0.3%",project-x,usd-coin,wrapped-hype,,,above,both_quote,3533663,158819600
0x705d5dda03d170384eb43eb1aa692a6fc548306f,"kHYPE / WHYPE 0.008%",ramses-v3-hyperevm,kinetic-staked-hype,wrapped-hype,,,above,both_quote,2914686,82622575
0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,"USD₮0 / WHYPE 0.05%",project-x,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,2467268,69726636
0x0185e8e8b7fdf22638ecb2d781b3ea7e8aa2452a,"fwWHYPE / fwUETH",ring-exchange-hyperevm,wrapped-hype,unit-ethereum,,,above,both_quote,2196521,101559952
0x0d3e8f6949dcaca02cbd1aaf7ca840f4f36216b7,"USDC / UETH 0.19%",ramses-v3-hyperevm,usd-coin,unit-ethereum,,,above,both_quote,2001892,21995751
0x0d6ecb912b6ee160e95bc198b618acc1bcb92525,"UBTC / WHYPE 0.3%",project-x,unit-bitcoin,wrapped-hype,,,above,both_quote,1419217,79582171
0xe5b51f0519819e609447ab1239cf7d4324c76ceb,"UETH / WHYPE 0.25%",ramses-v3-hyperevm,unit-ethereum,wrapped-hype,,,above,both_quote,1376191,8260594
0x12df9913e9e08453440e3c4b1ae73819160b513e,"USDC / WHYPE 0.05%",kittenswap-algebra,usd-coin,wrapped-hype,,,above,both_quote,1297298,42466142
0x21092837c89a1858aa7e6631fcf77a5f12c10218,"UBTC / UETH 0.11%",ramses-v3-hyperevm,unit-bitcoin,unit-ethereum,,,above,both_quote,1176238,18154191
0xbe352daf66af94ccf2012a154a67daef95facb91,"kHYPE / WHYPE 0.01%",project-x,kinetic-staked-hype,wrapped-hype,,,above,both_quote,1035684,22338752
0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,"USD₮0 / WHYPE 0.05%",hyperswap-v3,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,897267,41120543
0x613bc619741354a6171692b04228c9640373e54b,"USDC / USD₮0 0.002%",nest,usd-coin,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,887813,78576038
0x20e6e73c91a29d21bde672562a4b16649d66623e,"USD₮0 / WHYPE 0.03%",nest,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,824912,23301338
0xee02e3a3034e9ef3bd569b140bc9911fcf1ba067,"USD₮0 / WHYPE 0.24%",ramses-v3-hyperevm,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,815565,8805177
0x3a36b04bcc1d5e2e303981ef643d2668e00b43e7,"UBTC / WHYPE 0.3%",hyperswap-v3,unit-bitcoin,wrapped-hype,,,above,both_quote,796078,50399516
0xaf80230eb13222db743c21762f65a046bb5f5437,"UETH / WHYPE 0.3%",project-x,unit-ethereum,wrapped-hype,,,above,both_quote,653485,31618925
0xc22fad66665343d385608cc45d2e1484f9ba8d6b,"USD₮0 / WHYPE 0.3%",hybra-finance-v4,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,627844,7054503
0x78cc152a531dbde2f3fe7001ad659fa120fa893b,"UPUMP / WHYPE 0.3%",project-x,unit-pump,wrapped-hype,unit-pump,1657726337,above,single_subject:cg_mcap,595924,33780853
0xcd238eafadb112515910f8d09d94a90ac8c180fe,"UBTC / WHYPE 0.205%",nest,unit-bitcoin,wrapped-hype,,,above,both_quote,572649,39187319
0x5a77b0d96ad87defee407ed5244c942ff7fc5779,"JOFF / WHYPE",hyperswap-v2,chomolon-joff,wrapped-hype,chomolon-joff,11917735,below,single_subject:cg_mcap,561305,4700071
0x8326507ed1195b00ee36b585c8f085a279df96a1,"UBTC / WHYPE 0.22%",ramses-v3-hyperevm,unit-bitcoin,wrapped-hype,,,above,both_quote,495560,3033852
0x34a4539f9527d20985e3d14e81d8b473015acf9c,"DRV / WHYPE 0.25%",nest,derive,wrapped-hype,derive,190580783,above,single_subject:cg_mcap,449747,2504682
0xe712d505572b3f84c1b4deb99e1beab9dd0e23c9,"USDC / WHYPE 0.3%",hyperswap-v3,usd-coin,wrapped-hype,,,above,both_quote,321642,14629540
0xfd0cb41a4a28b5ca13affe65cd5924f461b3c850,"UBTC / USD₮0 0.05%",project-x,unit-bitcoin,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,314120,12503182
0x622e1af501a27a3a9b32b3d4fad8e9f90315191f,"EGG / WHYPE 0.01%",hyperswap-v3,egg-3,wrapped-hype,egg-3,1409982,below,single_subject:cg_mcap,289770,24962897
0x998007a512531d9081e116f85605c40d41abd4f1,"UETH / WHYPE 0.15%",nest,unit-ethereum,wrapped-hype,,,above,both_quote,258108,13524225
0x043538c4d9df365833b741ba2a3555787de947d3,"UPUMP / USD₮0 0.3%",project-x,unit-pump,usdt0,unit-pump,1657726337,above,min_cap_of_two:cg_mcap,183120,8564247
0xa4abf3edc4c470675c2dfd01b7e23a81a89cf24e,"UBTC / USDC 0.3%",project-x,unit-bitcoin,usd-coin,,,above,both_quote,178822,4409466
0x94291bea4c3ac9dbe81615083bb9a028722eebec,"USDC / USD₮0 0.01%",project-x,usd-coin,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,170869,14892098
0x8af68655c82175e5e4d46c76bd673f09b65de086,"hyperRAM / USDC 1%",ramses-v3-hyperevm,xram-liquid-staking-token,usd-coin,xram-liquid-staking-token,11882892,below,single_subject:cg_mcap,160715,6712582
0x7319ac5bb90164191bd236c16000fa3f1c29e456,"USDC / USD₮0 0.022%",hybra-finance-v4,usd-coin,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,150253,12508267
0x13ed7c37ee189b41127431d36e6210e1df8d7986,"USDC / UETH 0.3%",project-x,usd-coin,unit-ethereum,,,above,both_quote,149601,837114
0xc477f349f2912e034eac45bc41ec1f643580db2e,"USOL / WHYPE 0.3%",project-x,unit-solana,wrapped-hype,,,above,both_quote,131517,5241730
0xe7aea6b7d997016d4fbbbae0cf0ab4d02bca087e,"UBTC / USDC 0.2%",ramses-v3-hyperevm,unit-bitcoin,usd-coin,,,above,both_quote,131054,1737968
0x3603ffebb994cc110b4186040cac3005b2cf4465,"USD₮0 / WHYPE 0.25%",hybra-finance-v3,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,130984,2523193
0x5dea7b0545aadc4561cb418976fb6fa8aecd38ea,"CHAMELEON / WHYPE 0.01%",hyperswap-v3,chameleon,wrapped-hype,chameleon,588487,below,single_subject:cg_mcap,127382,13211542
0x89510e6631c103746a4afb80fda30b5ee747f21c,"PERPME / WHYPE 1%",project-x,perpme,wrapped-hype,perpme,380154,below,single_subject:cg_mcap,126741,2743751
0x603aa1d875ab6274a4f8e4d15eb0e7521e4cd777,"UPUMP / WHYPE 0.15%",hypertrade,unit-pump,wrapped-hype,unit-pump,1657726337,above,single_subject:cg_mcap,120410,4350818
0x9eeb4c91e439f89a43920f828854c16f5d415196,"DRV / USDC 0.25%",nest,derive,usd-coin,derive,190580783,above,single_subject:cg_mcap,107316,1661565
0x770e777cd0be387712cc22444d73de3d60ec0cf8,"USDV / USDC 0.01%",nest,delpho-usdv,usd-coin,delpho-usdv,436562,below,single_subject:cg_mcap,103538,6371160
0x9310da3dd7d7b4d48a38941d90c7ef8e74bccf71,"USDV / WHYPE 0.075%",nest,delpho-usdv,wrapped-hype,delpho-usdv,436562,below,single_subject:cg_mcap,102633,2711180
0xa83d60b1a9ca6dd1d0d2d9275c700114f2f3a8d6,"kHYPE / WHYPE 0.01%",nest,kinetic-staked-hype,wrapped-hype,,,above,both_quote,101485,7929787
0x44a59f7859f199768e585133e0a5ab2da1350600,"feUSD / USD₮0 0.01%",project-x,felix-feusd,usdt0,felix-feusd,73939634,below,min_cap_of_two:cg_mcap,98769,774657
0x409c11aa6475868e5fc37c1e82f09ff3be1defe3,"USDC / WHYPE 0.25%",hybra-finance-v4,usd-coin,wrapped-hype,,,above,both_quote,93096,4133061
0xeee58db59656eab55117ddb4a71a5afe30ed1209,"JOFF / USDC 1%",project-x,chomolon-joff,usd-coin,chomolon-joff,11917735,below,single_subject:cg_mcap,91069,1308699
0xa33601b7811dc089cafeb7c7b97fc4c8271899b2,"RAM / WHYPE",ramses-legacy-hyperevm,ramses,wrapped-hype,ramses,8971588,below,single_subject:cg_mcap,83156,1099086
0x10e8c38bf10f80316603011444d9a1ddc45781f5,"UBTC / USDC 0.15%",nest,unit-bitcoin,usd-coin,,,above,both_quote,71989,1917432
0x4c3078122fe4f946a6dd3bff487c19661dea9314,"USDC / WHYPE 0.015%",hybra-finance-v4,usd-coin,wrapped-hype,,,above,both_quote,67321,3403894
0x0ceca9d7ddfc57d53c5095ba377cfaa4e0802cae,"WHYPE / USD₮0 0.05%",hybra-finance-v4,wrapped-hype,usdt0,usdt0,183398859944,above,single_subject:cg_mcap,67393,3331570
0xc8e5ee73b80bb3f6c9b5348771de8217abd412e7,"KNTQ / WHYPE 0.25%",nest,kinetiq,wrapped-hype,kinetiq,56778331,below,single_subject:cg_mcap,67066,6113653
0x3c1403335d0ca7d0a73c9e775b25514537c2b809,"USD₮0 / WHYPE 0.05%",kittenswap-algebra,usdt0,wrapped-hype,usdt0,183398859944,above,single_subject:cg_mcap,62641,3500042
0x07c249fa3902fd243ad0fa58047be8a3262b7104,"PURR / WHYPE 0.3%",hyperswap-v3,purr-2,wrapped-hype,purr-2,67409957,below,single_subject:cg_mcap,58445,237981
0xce17208bda21f2d84e1a410f8704ac56038a179d,"UPUMP / WHYPE 0.25%",nest,unit-pump,wrapped-hype,unit-pump,1657726337,above,single_subject:cg_mcap,48503,1766404
0x7fb49675fe9b32ef36b27895c7a1257f58a17e35,"UPUMP / WHYPE 0.3%",hybra-finance-v4,unit-pump,wrapped-hype,unit-pump,1657726337,above,single_subject:cg_mcap,48306,1805213
0xc263ed5351816e2f348c520b208a00383f563e32,"USDM / WHYPE 0.024%",hybra-finance-v4,monetrix-usd,wrapped-hype,monetrix-usd,2556817,below,single_subject:cg_mcap,48463,1943199
