pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,"SOL / USDC",orca,wrapped-solana,usd-coin,,,above,both_quote,176851980,4225893199
8QKJHcXiVfo7jY9mY8kpoZgJMG4F9JM2mPY243VALjMB,"HOOD / SOL",pumpswap,,wrapped-solana,HOOD,510479,below,single_subject:gt_fdv,150074928,140361016
DPVxHwyywSK8cNPtGGPzENA1cKCyGXRhEZJj1mx4Fp8t,"NVIDIA / SOL",pumpswap,,wrapped-solana,NVIDIA,648070,below,single_subject:gt_fdv,143653201,40291078
5dZWginzURwEJj5w58pWYD2Ytj4nxxWED3SD1wPo2d5x,"Claude / SOL",pumpswap,,wrapped-solana,Claude,81856,below,single_subject:gt_fdv,142309291,20421585
ANvn4eio8MV74kQsFANKbUFQUd3hCNgLiN97ExefFUBA,"EMBER / SOL",pumpswap,,wrapped-solana,EMBER,1304027,below,single_subject:gt_fdv,135234060,0
7hhXEWimPYHfCcNmwHeUmYUvuDQoiEeqfi3Wx6ZXKbvf,"Claude / SOL",pumpswap,,wrapped-solana,Claude,3353968,below,single_subject:gt_fdv,95735392,95856499
zxTpi4BtaWX3mgdAPoezkMD1hxx8CdeCfrqXMWvSCLX,"STONK / SOL",meteora,stonk-3,wrapped-solana,stonk-3,252495796,above,single_subject:cg_mcap,81017458,156183507
58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,"SOL / USDC",raydium,wrapped-solana,usd-coin,,,above,both_quote,78394942,513295756
82ma7fvm6xEJKPBFyx7WouiN14u9K4Tz6NUgXaw3NLvQ,"IOPN / SOL",pumpswap,,wrapped-solana,IOPN,4318300,below,single_subject:gt_fdv,67065624,67127532
A4gyF2ZioWHJJ6Scy1Kog2HB2S4mcgRtQnw2FuTx4jd1,"Claude / SOL",pumpswap,,wrapped-solana,Claude,1970064,below,single_subject:gt_fdv,65689195,65737294
DX937KQq48t7twQGrRnb8ibc6LzDpSpyik6kTrM7x7iW,"Claude / SOL",pumpswap,,wrapped-solana,Claude,2184067,below,single_subject:gt_fdv,63861674,63907963
8sjV1AqBFvFuADBCQHhotaRq5DFFYSjjg1jMyVWMqXvZ,"USDT / USDC",manifest,tether,usd-coin,,,above,both_quote,56731333,1746790321
GjuRp96RLUTpFUrB6euwczRbsiig3ZidU4ZnoxC5Nnpc,"SPCX / SOL",pumpswap,,wrapped-solana,SPCX,5364055,below,single_subject:gt_fdv,54562899,44513186
3CgeZ5PjrX7Efac8YzagZtEvfTj5L6bSJrGZ6mJn5HKn,"DeepSeek / SOL",pumpswap,,wrapped-solana,DeepSeek,25775901,below,single_subject:gt_fdv,53864332,76391895
4eDs2v83qMv8i16Rs59qpmyxFwbpQkGmSxXgoMwkKXjA,"HOOD / SOL",pumpswap,,wrapped-solana,HOOD,1180583,below,single_subject:gt_fdv,53133781,0
FksffEqnBRixYGR791Qw2MgdU7zNCpHVFYBL4Fa4qVuH,"SOL / USDC",humidifi,wrapped-solana,usd-coin,,,above,both_quote,50875691,1111664320
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,"SOL / USDC",meteora,wrapped-solana,usd-coin,,,above,both_quote,45222910,1420485568
